File Name,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Spectral_Centroid,Spectral_Rolloff,Spectral_Bandwidth,Spectral_Flatness,Zero_Crossing_Rate,RMS_Energy,Label
1089-134686-0000,-300.53806,102.67657,-11.5337515,34.515648,3.6979702,3.7404506,-7.779979,-5.0308332,-1.1618856,-0.9489489,-0.21225284,1.6172491,-5.072375,1704.1344397233,3090.9547018348626,1476.584607171237,0.044223096,0.12749665519877676,0.034645326,clean
1089-134686-0001,-364.2475,91.37735,4.10496,40.97274,3.8556523,11.06149,-3.984364,-0.6017378,4.0341897,-2.4161863,4.923177,1.5387696,1.1172405,1741.5948415119976,3295.5855582524273,1628.5366771364584,0.039156012,0.10782008495145631,0.019860856,clean
1089-134686-0002,-303.5464,130.27701,-17.590935,26.203365,-7.220541,2.721291,-7.6971836,-8.856187,1.239684,-1.2306017,0.28865135,-0.021224536,-3.2952144,1390.0270574937135,2618.2767427884614,1353.3093032873487,0.024160951,0.08733896108774039,0.038249645,clean
1089-134686-0003,-313.2429,110.68313,-20.646511,21.18219,-5.369611,-9.688619,-9.5898695,-7.0875454,-10.202554,-2.014711,-4.1345434,-0.20804536,-6.301792,1312.205836822985,2581.845238095238,1378.2428122118006,0.01037495,0.06534830729166667,0.0630827,clean
1089-134686-0004,-298.86835,104.32772,-21.30079,29.336485,2.9663622,-3.6720333,-11.293174,-2.4028406,-1.2842407,0.897291,-3.4141912,1.5993062,-3.0085955,1548.0780736194802,2952.7894938650306,1483.2598735481401,0.03137018,0.09633219900306748,0.04819747,clean
1089-134686-0005,-330.58215,120.07145,-8.333164,30.200632,2.5197568,5.0344796,-8.444924,-3.9281783,0.20041315,-6.331386,0.02002519,-1.5460457,-2.3371363,1427.2971438207042,2719.8882450331125,1406.4224985326823,0.027678944,0.09192945467715231,0.03335587,clean
1089-134686-0006,-314.23532,117.56928,-6.3763695,34.403873,-5.281651,1.0979092,-2.6458318,-5.592293,-2.6786017,-2.998249,1.6328863,0.66142035,-2.2898505,1425.5316142659078,2713.9204545454545,1415.007567390984,0.028835459,0.08769679214015151,0.036152877,clean
1089-134686-0007,-355.01575,104.659966,5.359611,35.411613,-3.7024877,6.6405673,-4.779662,-4.8633375,-0.8508863,-4.2871184,1.0571724,-3.982712,-1.19938,1579.6172253549223,3067.1641791044776,1530.6961293194092,0.03134025,0.10660199976679105,0.029820979,clean
1089-134686-0008,-327.24457,112.651794,-0.64184105,29.213684,0.6902855,4.45319,-8.826398,-1.3409029,-2.2076516,-2.8188298,1.8523295,-2.6219547,-1.6790799,1548.3893035251506,2845.3421208530804,1453.5020708656352,0.03396914,0.11297578495260663,0.031675823,clean
1089-134686-0009,-329.3935,115.766495,-9.254151,30.318035,2.283206,4.021175,-6.1904445,-4.517061,-1.1060371,-0.99086964,1.0510395,0.4037091,-3.8054643,1487.9583781822682,2789.9121978851963,1423.9289973937134,0.028056044,0.09795718466767371,0.037759814,clean
1089-134686-0010,-255.93436,108.91296,-26.852955,21.592642,-2.9192703,-5.2908983,-19.65697,-0.45679027,-3.715062,0.8912961,-2.585538,3.464119,-5.2001023,1724.5908003846753,3009.3410326086955,1400.2517705097616,0.026721755,0.1281455219655797,0.059468463,clean
1089-134686-0011,-297.81567,113.784386,-7.019195,32.145317,-2.1445765,3.1245484,-7.9010134,-7.06306,-3.8221383,-1.5701047,-1.3555758,0.15000121,-2.6431499,1604.5011363837252,2969.3123393316196,1443.063757172176,0.036153644,0.11829083989395887,0.036117077,clean
1089-134686-0012,-333.21948,109.852295,-10.403218,33.893353,2.6955018,3.9048283,-4.6580257,-2.4549923,-2.7960494,-1.9226866,1.2418627,-0.4836474,-2.9984975,1540.5995158136932,2960.9804258241757,1475.827258272367,0.029742608,0.10437548291552198,0.03316361,clean
1089-134686-0013,-323.5589,108.41055,-5.0200195,38.829952,5.1506414,4.1763377,-5.488684,-1.0184947,-0.5878909,-3.4567804,0.0010560866,-0.2685755,-3.0659232,1543.4669524454807,3072.454637096774,1533.6825744553696,0.033383414,0.09587835496471774,0.03272747,clean
1089-134686-0014,-324.98203,101.73077,-8.801186,50.782642,8.314664,-2.5566661,-1.4547654,0.5038451,-1.9683807,-7.883645,1.7298156,-0.32843384,-5.9009323,1485.7068105489004,3089.285714285714,1556.3305998010605,0.03127425,0.09363839285714286,0.03962017,clean
1089-134686-0015,-363.99365,106.57403,1.0838947,24.093996,5.1269674,8.838333,-4.9818645,-1.2559717,-1.422763,-2.084838,3.129716,-0.96782905,-0.62661386,1615.2911858173259,3149.639423076923,1582.6604289027146,0.038353052,0.0884540264423077,0.028450385,clean
1089-134686-0016,-334.86917,91.88471,3.4732723,25.880342,4.3929334,6.4645057,-9.391219,2.8436003,0.8834781,0.6632184,3.7038841,-0.30949584,-1.3632854,1873.2352637755278,3648.2263513513512,1728.5083340476442,0.040316075,0.12304247606981981,0.026508497,clean
1089-134686-0017,-308.89362,108.045715,-17.700182,34.297703,2.8887486,5.082446,-7.382652,-3.5254183,-0.3092618,0.21017851,2.8937614,-0.2336777,-4.1763453,1632.6365989237452,3003.6814298561153,1466.374790176556,0.036166117,0.10226506294964029,0.033661123,clean
1089-134686-0018,-316.3602,112.39496,-8.271273,37.43523,4.0494347,0.7711815,-5.7509904,-4.2982664,-4.827401,-2.7346287,-2.621376,-0.83311486,-2.337576,1486.6620804637673,2858.6604420731705,1449.5356743154362,0.029878253,0.09913002572408537,0.033631984,clean
